Metropolitan Statistical Area,MSA_Description
"New York-Northern New Jersey-Long Island, NY-NJ-PA MSA",New York City Metro Area
"Los Angeles-Long Beach-Santa Ana, CA MSA",Los Angeles Metro Area
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Chicago Metro Area
"Dallas-Fort Worth-Arlington, TX MSA",Dallas/Fort Worth Metro Area
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia Metro Area
"Houston-Sugar Land-Baytown, TX MSA",Houston Metro Area
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",Washington DC Metro Area
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",Miami Metro Area
"Atlanta-Sandy Springs-Marietta, GA MSA",Atlanta Metro Area
"Boston-Cambridge-Quincy, MA-NH MSA",Boston Metro Area
"San Francisco-Oakland-Fremont, CA MSA",San Francisco Metro Area
"Detroit-Warren-Livonia, MI MSA",Detroit Metro Area
"Riverside-San Bernardino-Ontario, CA MSA",Inland Empire Metro Area
"Phoenix-Mesa-Glendale, AZ MSA",Phoenix Metro Area
"Seattle-Tacoma-Bellevue, WA MSA",Seattle Metro Area
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",Minneapolis Metro Area
"San Diego-Carlsbad-San Marcos, CA MSA",San Diego Metro Area
"St. Louis, MO-IL MSA",St. Louis Metro Area
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa Metro Area
"Baltimore-Towson, MD MSA",Baltimore Metro Area
"Denver-Aurora-Broomfield, CO MSA",
"Pittsburgh, PA MSA",
"Portland-Vancouver-Hillsboro, OR-WA MSA",
"Sacramento–Arden-Arcade–Roseville, CA MSA",
"San Antonio-New Braunfels, TX MSA",
"Orlando-Kissimmee-Sanford, FL MSA",
"Cincinnati-Middletown, OH-KY-IN MSA",
"Cleveland-Elyria-Mentor, OH MSA",
"Kansas City, MO-KS MSA",
"Las Vegas-Paradise, NV MSA",
"San Jose-Sunnyvale-Santa Clara, CA MSA",
"Columbus, OH MSA",
"Charlotte-Gastonia-Rock Hill, NC-SC MSA",
"Indianapolis-Carmel, IN MSA",
"Austin-Round Rock-San Marcos, TX MSA",
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",
"Providence-New Bedford-Fall River, RI-MA MSA",
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",
"Milwaukee-Waukesha-West Allis, WI MSA",
"Jacksonville, FL MSA",
"Memphis, TN-MS-AR MSA",
"Louisville/Jefferson County, KY-IN MSA",
"Richmond, VA MSA",
"Oklahoma City, OK MSA",
"Hartford-West Hartford-East Hartford, CT MSA",
"New Orleans-Metairie-Kenner, LA MSA",
"Buffalo-Niagara Falls, NY MSA",
"Raleigh-Cary, NC MSA",
"Birmingham-Hoover, AL MSA",
"Salt Lake City, UT MSA",
"Rochester, NY MSA",
"Tucson, AZ MSA",
"Honolulu, HI MSA",
"Tulsa, OK MSA",
"Fresno, CA MSA",
"Bridgeport-Stamford-Norwalk, CT MSA",
"Albuquerque, NM MSA",
"Albany-Schenectady-Troy, NY MSA",
"Omaha-Council Bluffs, NE-IA MSA",
"New Haven-Milford, CT MSA",
"Dayton, OH MSA",
"Bakersfield-Delano, CA MSA",
"Oxnard-Thousand Oaks-Ventura, CA MSA",
"Allentown-Bethlehem-Easton, PA-NJ MSA",
"Baton Rouge, LA MSA",
"El Paso, TX MSA",
"Worcester, MA MSA",
"McAllen-Edinburg-Mission, TX MSA",
"Grand Rapids-Wyoming, MI MSA",
"Columbia, SC MSA",
"Greensboro-High Point, NC MSA",
"Akron, OH MSA",
"North Port-Bradenton-Sarasota, FL MSA",
"Little Rock-North Little Rock-Conway, AR MSA",
"Knoxville, TN MSA",
"Springfield, MA MSA",
"Stockton, CA MSA",
"Poughkeepsie-Newburgh-Middletown, NY MSA",
"Charleston-North Charleston-Summerville, SC MSA",
"Syracuse, NY MSA",
"Toledo, OH MSA",
"Colorado Springs, CO MSA",
"Greenville-Mauldin-Easley, SC MSA",
"Wichita, KS MSA",
"Cape Coral-Fort Myers, FL MSA",
"Boise City-Nampa, ID MSA",
"Lakeland-Winter Haven, FL MSA",
"Des Moines-West Des Moines, IA MSA",
"Madison, WI MSA",
"Youngstown-Warren-Boardman, OH-PA MSA",
"Scranton–Wilkes-Barre, PA MSA",
"Augusta-Richmond County, GA-SC MSA",
"Harrisburg-Carlisle, PA MSA",
"Ogden-Clearfield, UT MSA",
"Palm Bay-Melbourne-Titusville, FL MSA",
"Jackson, MS MSA",
"Chattanooga, TN-GA MSA",
"Provo-Orem, UT MSA",
"Lancaster, PA MSA",
"Modesto, CA MSA",
"Portland-South Portland-Biddeford, ME MSA",
"Durham-Chapel Hill, NC MSA",
"Deltona-Daytona Beach-Ormond Beach, FL MSA",
"Santa Rosa-Petaluma, CA MSA",
"Winston-Salem, NC MSA",
"Lexington-Fayette, KY MSA",
"Spokane, WA MSA",
"Lansing-East Lansing, MI MSA",
"Fayetteville-Springdale-Rogers, AR-MO MSA",
"Pensacola-Ferry Pass-Brent, FL MSA",
"Visalia-Porterville, CA MSA",
"Springfield, MO MSA",
"York-Hanover, PA MSA",
"Corpus Christi, TX MSA",
"Flint, MI MSA",
"Reno-Sparks, NV MSA",
"Asheville, NC MSA",
"Port St. Lucie, FL MSA",
"Santa Barbara-Santa Maria-Goleta, CA MSA",
"Huntsville, AL MSA",
"Fort Wayne, IN MSA",
"Salinas, CA MSA",
"Vallejo-Fairfield, CA MSA",
"Mobile, AL MSA",
"Reading, PA MSA",
"Brownsville-Harlingen, TX MSA",
"Killeen-Temple-Fort Hood, TX MSA",
"Canton-Massillon, OH MSA",
"Manchester-Nashua, NH MSA",
"Shreveport-Bossier City, LA MSA",
"Salem, OR MSA",
"Beaumont-Port Arthur, TX MSA",
"Anchorage, AK MSA",
"Davenport-Moline-Rock Island, IA-IL MSA",
"Peoria, IL MSA",
"Montgomery, AL MSA",
"Tallahassee, FL MSA",
"Trenton-Ewing, NJ MSA",
"Fayetteville, NC MSA",
"Hickory-Lenoir-Morganton, NC MSA",
"Wilmington, NC MSA",
"Evansville, IN-KY MSA",
"Eugene-Springfield, OR MSA",
"Rockford, IL MSA",
"Savannah, GA MSA",
"Ann Arbor, MI MSA",
"Ocala, FL MSA",
"Kalamazoo-Portage, MI MSA",
"Naples-Marco Island, FL MSA",
"South Bend-Mishawaka, IN-MI MSA",
"Kingsport-Bristol-Bristol, TN-VA MSA",
"Roanoke, VA MSA",
"Green Bay, WI MSA",
"Charleston, WV MSA",
"Lincoln, NE MSA",
"Fort Collins-Loveland, CO MSA",
"Utica-Rome, NY MSA",
"Fort Smith, AR-OK MSA",
"Columbus, GA-AL MSA",
"Boulder, CO MSA",
"Huntington-Ashland, WV-KY-OH MSA",
