kf_Location ID,Place ID,place_needs_review,place_reported_closed,place_no_url_title,multiple_location_unique_name,place parent id,place_tags,phone,email
1,1,,,,,,"museum, science, exhibitions, shows, events, activities,",617-723-2500,information@mos.org
2,2,,,,,,"fish, aquarium, animals, exhibits, conservation, research",617-973-5200,comments@neaq.org
3,3,,,,,,,(617) 242-5642,
4,4,,,,,,"freedom, trail, tours",(617) 357-8300,info@thefreedomtrail.org
6,6,,,,,,"Financial District, Wall St.",212-747-1500,manager@thewallstreetinn.travel
7,7,,,,,,"very expensive, upscale",212-519-6600,reservations@tribecagrand.com
8,8,,,,,,,(617) 727-3676,cis@sec.state.ma.us
9,9,,,,,,"Lower East Side,",212-475-2600,info@hotelrivington.com
10,10,,,,,,"point of interest, church, religion, religious, ministries",617.523.3383,info@parkstreet.org
11,11,,,,,,"Tribeca, Inexpensive",(212) 566-1900,reservations@cosmohotel.com
12,12,,,,,,"religion, religious, king, chapel, church, worship. music",617/227-2155,admin@kings-chapel.org
13,13,,,,,,"Soho, luxury, Romanesque, loft",(212) 965-3838,reservations@mercerhotel.com
14,14,,,,,,"point of interest, meeting, house, boston tea party,",(617) 482-6439,
15,15,,,,,,"chic, spacious, SoHo",877-431-0400,info@thompsonhotels.com
16,16,,,,,,"boston, history, historical, state, old, house,",(617) 720-1713,vsm@bostonhistory.org
17,17,,,,,,SoHo,212-965-3000,reservations@shohogrand.com
18,18,,,,,,"President's Home, executive office, government, oval office",,
19,19,,,,,,"luxury, Meatpacking District, chic, stylish",(212) 206-6700,contact@hotelgansevoort.com
20,20,,,,,,"memorial, jewish, holocaust, remember,",617-457-8755,
21,21,,,,,,"inexpensive, Greenwich Village",(212) 989-9333,
22,22,,,,,,"NYU, Greenwich Village, Washington Square",(212) 777-9515,reservations@wshotel.com
23,23,,,,,,"paul, revere, house, revolution, war",(617) 523-2338,
24,24,,,,,,"George Washington, Smithsonian, Potomac River, National Park Service,",(202) 426-6841,
25,25,,,,,,"church, religion, religious, salem, congregation, revolution, robert newman",(617) 523-6676,tours@oldnorth.com
26,26,,,,,,Chelsea,(877) 387-2323,reservations@innon23rd.com
27,27,,,,,,"Chelsea, European-style, inexpensive",(212) 243-4499,info@chelsealodge.com
28,28,,,,,,"Veterans' History Project, Rainbow Pool, Pearl Harbor, Normandy Beach, Battle of the Bulge",(202) 426-6841,
29,29,,,,,,"luxury, expensive",(212) 920-3300,reservations@gramercyparkhotel.com
30,30,,,,,,"constitution, navy, boats, ships, crew,",617-242-7511,constitution.admin.fct@navy.mil
31,31,,,,,,"Reflecting Pool, Gettysburg Address, Inaugural Address, Rev. Dr. Martin Luther King, Jr.",(202) 426-6842,
32,32,,,,,,"USS, constitution, museum, navy, boats, ships,",617) 426-1812,MuseumLearning@ussconstitutionmuseum.org
33,33,,,,,,"Beaux Arts, wireless",(212) 532-4100,reservations@carltonhotelny.com
34,34,,,,,,"Korea, Pool of Remembrance, Field of Service, United Nations, MIAs, POWs, KIAs",(202) 426-6841,
35,35,,,,,,"Madison Park, high ceilings, continental breakfast",212-685-7700,information@hotelgiraffe.com
36,36,,,,,,"Constitution Gardens, Vietnam Veterans Women's Memorial",(202) 426-6841,
37,37,,,,,,"antique, quaint, breakfast in bed",212-533-4600,innatirving@aol.com
38,38,,,,,,"Tidal Basin, West Potomac Park",(202) 426-6841,
39,39,,,,,,"automobiles, cars, larz anderson, collectibles, race, exhibits",617-522-6547,
40,40,,,,,,"artistic, inexpensive",(212) 545-8000,askus@gerswinhotel.com
41,41,,,,,,"Virginia Declaration of Rights, United States Bill of Rights, Washington Monument, Jefferson Memorial, FDR Memorial",(202) 426-6841,
42,42,,,,,,"library, books, groups, shop, tours, christian science publishing society",888-222-3711,
43,43,,,,,,"Midtown, upscale",212-840-6800,4reservations@algonquinhotel.com
