author_id,temp_author,First Name,Middle Name,Last Name,Display Name,Email
1,Andrea Minarcek,,,,,
2,"Danielle Contray, Nicholas DeRenzo, Nicole Frehsee, Devon O’Neil, Melinda Page, Valerie Rains, Julie Schwietert, and Diane Vadino",,,,,
3,Scott Sporleder,,,,,
4,David Boylan,,,,,
5,Hal Amen,,,,,
6,Kathy YL Chan,,,,,
7,Molly Young,,,,,
8,Hilary Howard,,,,,
9,Kristina Shevory,,,,,
10,Freda Moon,,,,,
11,Shaila Dewan,,,,,
12,Chris Colin,,,,,
13,Lionel Beehner,,,,,
14,David Laskin,,,,,
15,Michelle Higgins,,,,,
16,Geraldine Fabrikant,,,,,
17,Pete Freedman,,,,,
18,Andrew Knowlton,,,,,
19,Shax Riegler,,,,,
20,Jason Cochran,,,,,
21,Katherine Wheelock,,,,,
22,Nicholas DeRenzo,,,,,
23,Nicole Frehsee,,,,,
24,Melinda Page,,,,,
25,Daniel Duane,,,,,
26,Katy McColl,,,,,
27,"Geraldine Campbell, Kendell Cronstrom, Elaine Glusac, Naomi Lindt, and Mario López-Cordero",,,,,
28,David Farley,,,,,
29,Tom Markovich,,,,,
30,Nicholas Gill,,,,,
31,Carrie Havranek,,,,,
32,Christopher Reynolds,,,,,
33,Rosemary McClure,,,,,
34,Greg Emerson,,,,,
35,Steve Jermanok,,,,,
36,Jason Zinoman,,,,,
37,Sam Sifton,,,,,
38,Pete Wells,,,,,
39,Rachel Kalt,,,,,
40,Keli Dailey,,,,,
41,Caroline Dipping,,,,,
42,Ted Glennon,,,,,
43,Joshua Pramis,,,,,
44,Nina Fedrizzi,,,,,
45,Charlotte Druckman,,,,,
46,Ratha Tep,,,,,
47,Katrina Brown Hunt,,,,,
48,"Brendan Spiegel, Sarah Storms",,,,,
49,Nate Storey,,,,,
50,Geraldine Fabrikant,,,,,
51,Ron Hodson,,,,,
52,Lionel Beehner,,,,,
53,Ron Hodson,,,,,
54,Ron Hodson,,,,,
55,Ron Hodson,,,,,
56,Sara Schneider,,,,,
57,Ron Hodson,,,,,
58,Ron Hodson,,,,,
59,Joe Yogerst,,,,,
60,Lyndsey Matthews,,,,,
61,Harriet Baskas,,,,,
62,Mary Jo Manzanares,,,,,
63,Rosemary McClure,,,,,
64,Missy Sullivan,,,,,
65,Karla Peterson,,,,,
66,Kendra L. Williams,,,,,
67,Laura Bly,,,,,
68,Andrew Knowlton,,,,,
69,John Mariani,,,,,
70,John Mariani,,,,,
71,Lori Weisberg,,,,,
72,Chris Ross,,,,,
73,Keli Dailey,,,,,
74,R. A. Scott,,,,,
75,Pete Wells,,,,,
76,Pete Wells,,,,,
77,Jill Wendholt Silva,,,,,
78,Sarah Maslin Nir,,,,,
79,Elaine Glusac,,,,,
80,Nathan Scharn,,,,,
81,Peter Rowe,,,,,
82,Katarina Kovacevic,,,,,
83,Sam Anderson,,,,,
84,Sandra Ramani,,,,,
85,Stephanie Rosenbloom,,,,,
86,Pete Wells,,,,,
87,Ligaya Mishan,,,,,
88,Karen Schwartz,,,,,
89,Joyce Wadler,,,,,
90,Susan Lehman,,,,,
91,Matt Weddle,,,,,
92,Lori Weisberg,,,,,
93,David Farley,,,,,
94,Peter Rowe,,,,,
95,Mary Jo Manzanares,,,,,
96,Rob Lovitt,,,,,
97,Keli Dailey,,,,,
98,Chris Ross,,,,,
99,Michael Tortorello,,,,,
100,Campbell Robertson,,,,,
101,Ryan Murphy,,,,,
102,Gary A. Warner,,,,,
103,Valarie Strauss,,,,,
104,Gary A. Warner,,,,,
105,Nicholas K. Geranios,,,,,
106,"Dave Henkes, Donna Hood Crecca",,,,,
107,Kirk Johnson,,,,,
108,Susan Gregory Thomas,,,,,
109,Bill Schulz,,,,,
110,Rachel Lee Harris,,,,,
111,Adam Ngourney,,,,,
112,Katy Steinmetz,,,,,
113,Jane Black,,,,,
114,Pete Wells,,,,,
115,Lori Weisberg,,,,,
116,Peter Rowe,,,,,
117,Michelle Dederko,,,,,
118,Alan Richman,,,,,
119,Peter Rowe,,,,,
120,Ned Martel,,,,,
121,Tanya Mannes,,,,,
122,Keli Dailey,,,,,
123,Carl H. Larsen,,,,,
124,Katie Kelly Bell,,,,,
125,Sarah Grieco,,,,,
126,Lori Weisberg,,,,,
127,Hannah Sampson,,,,,
128,Sean O’Neill,,,,,
129,Kristen Dahlgren,,,,,
130,Jim Spellman,,,,,
131,Larry Bleiberg,,,,,
132,Larry Bleiberg,,,,,
133,Elizabeth Gunnison,,,,,
134,Laura T. Coffey,,,,,
135,Tanya Mannes,,,,,
136,Jakob Schiller,,,,,
137,Lucy Burningham,,,,,
138,Katie McElveen,,,,,
139,Norma Meyer,,,,,
140,Adam Fisher,,,,,
141,Gary Warner,,,,,
142,Sean O’Neill,,,,,
143,Christopher Reynolds,,,,,
144,Dave Lieberman,,,,,
145,Jenny Price,,,,,
146,Jim MacQuarrie,,,,,
147,Jessica Forsyth,,,,,
148,Laura Bly,,,,,
149,Lori Weisberg,,,,,
150,Carrie Havranek,,,,,
151,Joshua Pramis,,,,,
152,Rob Lovitt,,,,,
153,Norma Meyer,,,,,
154,Louis Sahagun,,,,,
155,Allison Austin Scheff,,,,,
156,Sage Russell,,,,,
157,Freda Moon,,,,,
158,Adam Schupak,,,,,
159,Eddie Trent,,,,,
160,Jessica Gelt,,,,,
161,Hugo Martin,,,,,
162,Ryan Ritchie,,,,,
163,Brady MacDonald,,,,,
164,Terrisa Meeks,,,,,
165,Brett Zongker,,,,,
166,James Chute,,,,,
167,Zachary Fowle,,,,,
168,Larry Olmsted,,,,,
169,Harriet Baskas,,,,,
170,Patricia Cohen,,,,,
171,Ethan Gilsdorf,,,,,
172,David Boylan,,,,,
173,Laura Bly,,,,,
174,Christopher Reynolds,,,,,
175,Beth Greenfield,,,,,
176,Larry Bleiberg,,,,,
177,Yelena Moroz,,,,,
178,Harriet Baskas,,,,,
179,Olivia Barker,,,,,
180,Laura Bly,,,,,
181,Adam Sylvain,,,,,
182,Jessica Gelt,,,,,
183,Susan Spano,,,,,
184,Ryan Ritchie,,,,,
185,Katia Hetter,,,,,
186,Larry Olmsted,,,,,
187,Larry Olmsted,,,,,
188,Jayne Clark,,,,,
189,Tony Perrottet,,,,,
190,Nancy Trejos,,,,,
191,Allison Linn,,,,,
192,Adrienne So,,,,,
193,Neil Genzlinger,,,,,
194,Jay Jones,,,,,
195,Adam Ngourney,,,,,
196,Harriet Ryan,,,,,
197,Ryan Ritchie,,,,,
198,Booth Moore,,,,,
199,Larry Olmsted,,,,,
200,Eve M. Kahn,,,,,
201,Ted Gregory,,,,,
202,Jordan Rane,,,,,
203,Larry Olmsted,,,,,
204,Larry Bleiberg,,,,,
205,Larry Himmel,,,,,
206,Deanne Goodman,,,,,
207,Pete Wells,,,,,
208,Heather Eng,,,,,
209,Karen Cicero,,,,,
210,Megan Othersen Gorman,,,,,
211,Lisa Singh,,,,,
212,Larry Olmsted,,,,,
213,Justin Ocean,,,,,
214,Peter Jon Lindberg,,,,,
215,Larry Bleiberg,,,,,
216,Colleen Lanin,,,,,
217,Larry Bleiberg,,,,,
218,Larry Olmsted,,,,,
219,Kitty Bean Yancey,,,,,
220,Larry Olmsted,,,,,
221,Brendan Spiegel,,,,,
222,Lydie,,,,,
223,Ben Schott,,,,,
224,Larry Bleiberg,,,,,
225,Avital Andrews,,,,,
226,Josh Sanburn,,,,,
227,Liz Weiss,,,,,
228,"Felicia Kelley, Brandon Payne",,,,,
229,Gretchen Ashton,,,,,
230,Matthew Moll,,,,,
231,Christopher Reynolds,,,,,
232,Allison Aubrey,,,,,
233,Amanda Kludt,,,,,
234,Jen Swetzoff,,,,,
235,Margie Goldsmith,,,,,
236,Gary Stoller,,,,,
237,William Grimes,,,,,
238,Sara Beck,,,,,
239,Elizabeth A. Harris,,,,,
240,Seth Kugel,,,,,
241,Larry Olmsted,,,,,
242,Jamie Beckman,,,,,
243,Tanya Lewis,,,,,
244,Cathy Lynn Grossman,,,,,
245,Larry Bleiberg,,,,,
246,Suzanne Rowan Kelleher,,,,,
247,Jayne Clark,,,,,
248,Larry Olmsted,,,,,
249,Corrine White,,,,,
250,Laura Bly,,,,,
251,Helene Cooper,,,,,
