CBSA Code,MSA_Name,Div Code,Metropolitan Division Name,FIPS,State,Component Name,Component Type
10180,"Abilene, TX MSA",,,48059,TX,Callahan,County
10180,"Abilene, TX MSA",,,48253,TX,Jones,County
10180,"Abilene, TX MSA",,,48441,TX,Taylor,County
10380,"Aguadilla-Isabela-San Sebastián, PR MSA",,,72003,PR,Aguada ,Municipio
10380,"Aguadilla-Isabela-San Sebastián, PR MSA",,,72005,PR,Aguadilla ,Municipio
10380,"Aguadilla-Isabela-San Sebastián, PR MSA",,,72011,PR,Añasco ,Municipio
10380,"Aguadilla-Isabela-San Sebastián, PR MSA",,,72071,PR,Isabela ,Municipio
10380,"Aguadilla-Isabela-San Sebastián, PR MSA",,,72081,PR,Lares ,Municipio
10380,"Aguadilla-Isabela-San Sebastián, PR MSA",,,72099,PR,Moca ,Municipio
10380,"Aguadilla-Isabela-San Sebastián, PR MSA",,,72117,PR,Rincón ,Municipio
10380,"Aguadilla-Isabela-San Sebastián, PR MSA",,,72131,PR,San Sebastián ,Municipio
10420,"Akron, OH MSA",,,39133,OH,Portage,County
10420,"Akron, OH MSA",,,39153,OH,Summit,County
10500,"Albany, GA MSA",,,13007,GA,Baker,County
10500,"Albany, GA MSA",,,13095,GA,Dougherty,County
10500,"Albany, GA MSA",,,13177,GA,Lee,County
10500,"Albany, GA MSA",,,13273,GA,Terrell,County
10500,"Albany, GA MSA",,,13321,GA,Worth,County
10580,"Albany-Schenectady-Troy, NY MSA",,,36001,NY,Albany,County
10580,"Albany-Schenectady-Troy, NY MSA",,,36083,NY,Rensselaer,County
10580,"Albany-Schenectady-Troy, NY MSA",,,36091,NY,Saratoga,County
10580,"Albany-Schenectady-Troy, NY MSA",,,36093,NY,Schenectady,County
10580,"Albany-Schenectady-Troy, NY MSA",,,36095,NY,Schoharie,County
10740,"Albuquerque, NM MSA",,,35001,NM,Bernalillo,County
10740,"Albuquerque, NM MSA",,,35043,NM,Sandoval,County
10740,"Albuquerque, NM MSA",,,35057,NM,Torrance,County
10740,"Albuquerque, NM MSA",,,35061,NM,Valencia,County
10780,"Alexandria, LA MSA",,,22043,LA,Grant Parish,Parish
10780,"Alexandria, LA MSA",,,22079,LA,Rapides Parish,Parish
10900,"Allentown-Bethlehem-Easton, PA-NJ MSA",,,34041,NJ,Warren,County
10900,"Allentown-Bethlehem-Easton, PA-NJ MSA",,,42025,PA,Carbon,County
10900,"Allentown-Bethlehem-Easton, PA-NJ MSA",,,42077,PA,Lehigh,County
10900,"Allentown-Bethlehem-Easton, PA-NJ MSA",,,42095,PA,Northampton,County
11020,"Altoona, PA MSA",,,42013,PA,Blair,County
11100,"Amarillo, TX MSA",,,48011,TX,Armstrong,County
11100,"Amarillo, TX MSA",,,48065,TX,Carson,County
11100,"Amarillo, TX MSA",,,48375,TX,Potter,County
11100,"Amarillo, TX MSA",,,48381,TX,Randall,County
11180,"Ames, IA MSA",,,19169,IA,Story,County
11260,"Anchorage, AK MSA",,,2020,AK,Anchorage ,Municipality
11260,"Anchorage, AK MSA",,,2170,AK,Matanuska-Susitna Borough,Borough
11300,"Anderson, IN MSA",,,18095,IN,Madison,County
11340,"Anderson, SC MSA",,,45007,SC,Anderson,County
11460,"Ann Arbor, MI MSA",,,26161,MI,Washtenaw,County
11500,"Anniston-Oxford, AL MSA",,,1015,AL,Calhoun,County
11540,"Appleton, WI MSA",,,55015,WI,Calumet,County
11540,"Appleton, WI MSA",,,55087,WI,Outagamie,County
11700,"Asheville, NC MSA",,,37021,NC,Buncombe,County
11700,"Asheville, NC MSA",,,37087,NC,Haywood,County
11700,"Asheville, NC MSA",,,37089,NC,Henderson,County
11700,"Asheville, NC MSA",,,37115,NC,Madison,County
12020,"Athens-Clarke County, GA MSA",,,13059,GA,Clarke,County
12020,"Athens-Clarke County, GA MSA",,,13195,GA,Madison,County
12020,"Athens-Clarke County, GA MSA",,,13219,GA,Oconee,County
12020,"Athens-Clarke County, GA MSA",,,13221,GA,Oglethorpe,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13013,GA,Barrow,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13015,GA,Bartow,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13035,GA,Butts,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13045,GA,Carroll,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13057,GA,Cherokee,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13063,GA,Clayton,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13067,GA,Cobb,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13077,GA,Coweta,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13085,GA,Dawson,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13089,GA,DeKalb,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13097,GA,Douglas,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13113,GA,Fayette,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13117,GA,Forsyth,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13121,GA,Fulton,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13135,GA,Gwinnett,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13143,GA,Haralson,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13149,GA,Heard,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13151,GA,Henry,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13159,GA,Jasper,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13171,GA,Lamar,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13199,GA,Meriwether,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13217,GA,Newton,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13223,GA,Paulding,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13227,GA,Pickens,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13231,GA,Pike,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13247,GA,Rockdale,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13255,GA,Spalding,County
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",,,13297,GA,Walton,County
12100,"Atlantic City-Hammonton, NJ MSA",,,34001,NJ,Atlantic,County
12220,"Auburn-Opelika, AL MSA",,,1081,AL,Lee,County
12260,"Augusta-Richmond County, GA-SC MSA",,,13033,GA,Burke,County
12260,"Augusta-Richmond County, GA-SC MSA",,,13073,GA,Columbia,County
12260,"Augusta-Richmond County, GA-SC MSA",,,13189,GA,McDuffie,County
12260,"Augusta-Richmond County, GA-SC MSA",,,13245,GA,Richmond,County
12260,"Augusta-Richmond County, GA-SC MSA",,,45003,SC,Aiken,County
12260,"Augusta-Richmond County, GA-SC MSA",,,45037,SC,Edgefield,County
12420,"Austin-Round Rock-San Marcos, TX MSA",,,48021,TX,Bastrop,County
12420,"Austin-Round Rock-San Marcos, TX MSA",,,48055,TX,Caldwell,County
12420,"Austin-Round Rock-San Marcos, TX MSA",,,48209,TX,Hays,County
12420,"Austin-Round Rock-San Marcos, TX MSA",,,48453,TX,Travis,County
12420,"Austin-Round Rock-San Marcos, TX MSA",,,48491,TX,Williamson,County
12540,"Bakersfield-Delano, CA MSA",,,6029,CA,Kern,County
12580,"Baltimore-Towson, MD MSA",,,24003,MD,Anne Arundel,County
12580,"Baltimore-Towson, MD MSA",,,24005,MD,Baltimore,County
12580,"Baltimore-Towson, MD MSA",,,24013,MD,Carroll,County
12580,"Baltimore-Towson, MD MSA",,,24025,MD,Harford,County
12580,"Baltimore-Towson, MD MSA",,,24027,MD,Howard,County
12580,"Baltimore-Towson, MD MSA",,,24035,MD,Queen Anne's,County
12580,"Baltimore-Towson, MD MSA",,,24510,MD,Baltimore ,City
12620,"Bangor, ME MSA",,,23019,ME,Penobscot,County
12700,"Barnstable Town, MA MSA",,,25001,MA,Barnstable,County
12940,"Baton Rouge, LA MSA",,,22005,LA,Ascension Parish,Parish
12940,"Baton Rouge, LA MSA",,,22033,LA,East Baton Rouge Parish,Parish
12940,"Baton Rouge, LA MSA",,,22037,LA,East Feliciana Parish,Parish
12940,"Baton Rouge, LA MSA",,,22047,LA,Iberville Parish,Parish
12940,"Baton Rouge, LA MSA",,,22063,LA,Livingston Parish,Parish
12940,"Baton Rouge, LA MSA",,,22077,LA,Pointe Coupee Parish,Parish
12940,"Baton Rouge, LA MSA",,,22091,LA,St. Helena Parish,Parish
12940,"Baton Rouge, LA MSA",,,22121,LA,West Baton Rouge Parish,Parish
12940,"Baton Rouge, LA MSA",,,22125,LA,West Feliciana Parish,Parish
12980,"Battle Creek, MI MSA",,,26025,MI,Calhoun,County
13020,"Bay City, MI MSA",,,26017,MI,Bay,County
13140,"Beaumont-Port Arthur, TX MSA",,,48199,TX,Hardin,County
13140,"Beaumont-Port Arthur, TX MSA",,,48245,TX,Jefferson,County
13140,"Beaumont-Port Arthur, TX MSA",,,48361,TX,Orange,County
13380,"Bellingham, WA MSA",,,53073,WA,Whatcom,County
13460,"Bend, OR MSA",,,41017,OR,Deschutes,County
13740,"Billings, MT MSA",,,30009,MT,Carbon,County
13740,"Billings, MT MSA",,,30111,MT,Yellowstone,County
13780,"Binghamton, NY MSA",,,36007,NY,Broome,County
13780,"Binghamton, NY MSA",,,36107,NY,Tioga,County
13820,"Birmingham-Hoover, AL MSA",,,1007,AL,Bibb,County
13820,"Birmingham-Hoover, AL MSA",,,1009,AL,Blount,County
13820,"Birmingham-Hoover, AL MSA",,,1021,AL,Chilton,County
13820,"Birmingham-Hoover, AL MSA",,,1073,AL,Jefferson,County
13820,"Birmingham-Hoover, AL MSA",,,1115,AL,St. Clair,County
13820,"Birmingham-Hoover, AL MSA",,,1117,AL,Shelby,County
13820,"Birmingham-Hoover, AL MSA",,,1127,AL,Walker,County
13900,"Bismarck, ND MSA",,,38015,ND,Burleigh,County
13900,"Bismarck, ND MSA",,,38059,ND,Morton,County
13980,"Blacksburg-Christiansburg-Radford, VA MSA",,,51071,VA,Giles,County
13980,"Blacksburg-Christiansburg-Radford, VA MSA",,,51121,VA,Montgomery,County
13980,"Blacksburg-Christiansburg-Radford, VA MSA",,,51155,VA,Pulaski,County
13980,"Blacksburg-Christiansburg-Radford, VA MSA",,,51750,VA,Radford ,City
14020,"Bloomington, IN MSA",,,18055,IN,Greene,County
14020,"Bloomington, IN MSA",,,18105,IN,Monroe,County
14020,"Bloomington, IN MSA",,,18119,IN,Owen,County
14060,"Bloomington-Normal, IL MSA",,,17113,IL,McLean,County
14260,"Boise City-Nampa, ID MSA",,,16001,ID,Ada,County
14260,"Boise City-Nampa, ID MSA",,,16015,ID,Boise,County
14260,"Boise City-Nampa, ID MSA",,,16027,ID,Canyon,County
14260,"Boise City-Nampa, ID MSA",,,16045,ID,Gem,County
14260,"Boise City-Nampa, ID MSA",,,16073,ID,Owyhee,County
14460,"Boston-Cambridge-Quincy, MA-NH MSA",37764,"Peabody, MA Metropolitan Division",25009,MA,Essex,County
14460,"Boston-Cambridge-Quincy, MA-NH MSA",15764,"Cambridge-Newton-Framingham, MA Metropolitan Division",25017,MA,Middlesex,County
