Cat_SubCat ID,Category,Sub Category,Description
9001,Attraction,Amusement Park,
9002,Attraction,Aquarium,
9003,Attraction,Aquatic Reserve,
9004,Attraction,Arcade,
9005,Attraction,Casino,
9006,Attraction,Ethnic Places,
9007,Attraction,Events Venue,A venue that is not a convention or conference center
9008,Attraction,Farm,
9009,Attraction,Festival,
9010,Attraction,Gardens,This is a generic reference.  See Botanical Garden also.
9011,Attraction,Historic Building,
9012,Attraction,Historic Houses,"A historic house can be a stately home, the birthplace of a famous person, or a house with an interesting history or architecture."
9013,Attraction,Local Park,
9014,Attraction,Marina,
9015,Attraction,Museum - Aerospace,
9016,Attraction,Museum - Art,
9017,Attraction,Museum - Children,
9018,Attraction,Museum - Fire,
9019,Attraction,Museum - History,
9020,Attraction,Museum - Living History,
9021,Attraction,Museum - Maritime,
9022,Attraction,Museum - Music,
9023,Attraction,Museum - Other,"If no existing sub-category is a better fit, and a new sub-category would be too limited, use ""Other"".  Can also be used as a placeholder until a better sub-category is defined"
9024,Attraction,Museum - Railway,
9025,Attraction,Museum - Science,
9026,Attraction,Museum - Sport,
9027,Attraction,Museum - Train,
9028,Attraction,Museum - Transportation,
9029,Attraction,Music Venue,
9030,Attraction,National Park,
9031,Attraction,Nature Preserve,
9032,Attraction,Other,"If no existing sub-category is a better fit, and a new sub-category would be too limited, use ""Other"".  Can also be used as a placeholder until a better sub-category is defined"
9033,Attraction,Planetarium,
9034,Attraction,Point of Interest,
9035,Attraction,Private Park,
9036,Attraction,State Park,
9037,Attraction,Theater - Drive-in,
9038,Attraction,Theater - Movie,
9039,Attraction,Theater - Performing Arts,
9040,Attraction,Theme Park,
9041,Attraction,Tour,
9042,Attraction,Water Park,
9043,Attraction,Zoo,
9044,Food/Drink,African,
9045,Food/Drink,American,
9046,Food/Drink,Asian,
9047,Food/Drink,Asian Fusion,
9048,Food/Drink,Bakery,
9049,Food/Drink,Bar,
9050,Food/Drink,BBQ,
9051,Food/Drink,Bistro,
9052,Food/Drink,Breakfast,
9053,Food/Drink,Brewery,
9054,Food/Drink,Cafe,
9055,Food/Drink,Cajun/Creole Cuisine,"Cajun cuisine arose from the more rustic, provincial French cooking adapted by the Acadians to Louisiana ingredients, whereas the cooking of the Louisiana Creoles tended more toward classical European styles adapted to local foodstuffs."
9056,Food/Drink,Californian,
9057,Food/Drink,Candy Shop,
9058,Food/Drink,Caribbean,
9059,Food/Drink,Casual Dining,
9060,Food/Drink,Chinese,
9061,Food/Drink,Coffeehouse,"A coffeehouse or coffee shop is an establishment which primarily serves prepared coffee or other hot beverages. It shares some of the characteristics of a bar, and some of the characteristics of a restaurant, but it is different from a cafeteria. As the name suggests, coffeehouses focus on providing coffee and tea as well as light snacks."
9062,Food/Drink,Continental,
9063,Food/Drink,Dairy,
9064,Food/Drink,Deli,
9065,Food/Drink,Desserts,
9066,Food/Drink,Distillery,
9067,Food/Drink,Eclectic,
9068,Food/Drink,Eurasian,
9069,Food/Drink,European,
9071,Food/Drink,Fine Dining,
9072,Food/Drink,French,
9073,Food/Drink,French Cuisine/Bistro,
9074,Food/Drink,Fusion,
9075,Food/Drink,German,
9076,Food/Drink,Greek,
9077,Food/Drink,Ice Cream,
9078,Food/Drink,Indian,
9079,Food/Drink,International,
9080,Food/Drink,Irish Pub,
9081,Food/Drink,Italian,
9082,Food/Drink,Japanese,
9083,Food/Drink,Latin,
9084,Food/Drink,Liquor,
9085,Food/Drink,Local,
9086,Food/Drink,Mediterranean,
9087,Food/Drink,Mexican,
9088,Food/Drink,Middle Eastern,
9089,Food/Drink,Nightclub,
9090,Food/Drink,Other,"If no existing sub-category is a better fit, and a new sub-category would be too limited, use ""Other"".  Can also be used as a placeholder until a better sub-category is defined"
9091,Food/Drink,Persian,
9092,Food/Drink,Pizza,
9093,Food/Drink,Regional,
9094,Food/Drink,Sandwiches,
9095,Food/Drink,Seafood,
9096,Food/Drink,Southern,
9097,Food/Drink,Southwestern,
9098,Food/Drink,Spanish,
9099,Food/Drink,Sports Bar,
9100,Food/Drink,Steakhouse,
9101,Food/Drink,Sushi,
9102,Food/Drink,Tapas/Spanish,
9103,Food/Drink,Tea,
9104,Food/Drink,Thai,
9105,Food/Drink,Vegetarian,
9106,Food/Drink,Vegetarian/Vegan,
9107,Food/Drink,Vietnamese,
9108,Food/Drink,Wine Bar,"A wine bar (also known as a bodega) is a tavern-like business focusing on selling wine, rather than liquor or beer. A typical feature of many wine bars is a wide selection of wines available by the glass. Some wine bars are profiled on wines of a certain type of origin, such as Italian wine or Champagne.  [Wikipedia]"
9109,Food/Drink,Winery,
9110,Lodging,Bed & Breakfast or Guest House,
9111,Lodging,Cabin or Cottage,
9112,Lodging,Campground,
9113,Lodging,Farm Stay,
9114,Lodging,Guest Ranch / Dude Ranch,
9115,Lodging,Hospitality Service,
9116,Lodging,Hostal (a posh hostel),
9117,Lodging,Hostel,
9118,Lodging,Hotel,
9119,Lodging,Motel,
9120,Lodging,Other,"If no existing sub-category is a better fit, and a new sub-category would be too limited, use ""Other"".  Can also be used as a placeholder until a better sub-category is defined"
9121,Lodging,Private Home,
9122,Lodging,Resort,
9123,Lodging,RV Park,
9124,Lodging,Vacation Rental,
9125,Services,Cybercaf,
9126,Services,Equipment Rental,
9127,Services,Laundromat,
9128,Services,Other,"If no existing sub-category is a better fit, and a new sub-category would be too limited, use ""Other"".  Can also be used as a placeholder until a better sub-category is defined"
9129,Services,Spa/Massage,
9130,Shopping,Antiques,
9131,Shopping,Art Gallery,
9132,Shopping,Bazaar,
9133,Shopping,Beauty and Beauty Services,
9134,Shopping,Bookstore,
9135,Shopping,Candy Shop,
9136,Shopping,Charity Shop,
9137,Shopping,Chocolate Shop,
