kf_Place ID,Cat_Subcat ID
1,9025
2,9002
3,9030
4,9034
6,9118
7,9118
8,9034
9,9118
10,9034
11,9118
12,9034
13,9118
14,9011
15,9118
16,9019
17,9118
18,9012
19,9118
20,9034
21,9118
22,9118
23,9012
24,9030
25,9034
26,9110
27,9118
28,9030
29,9118
30,9021
31,9030
32,9021
33,9118
34,9030
35,9118
36,9030
37,9118
38,9030
39,9023
40,9118
41,9030
42,9334
42,9019
43,9118
44,9030
45,9019
46,9023
47,9019
48,9019
49,9016
50,9030
51,9016
52,9015
53,9016
54,9019
55,9019
56,9019
58,9019
59,9031
60,9030
61,9260
62,9401
62,9411
63,9016
64,9034
65,9025
66,9016
67,9048
68,9118
69,9043
70,9118
71,9016
72,9118
73,9034
74,9016
75,9071
75,9118
76,9031
77,9034
78,9118
79,9017
80,9118
81,9034
82,9016
83,9043
84,9019
85,9029
86,9016
87,9118
88,9041
89,9334
90,9118
91,9030
92,9118
93,9041
94,9118
95,9041
96,9016
97,9041
98,9118
99,9118
100,9041
101,9118
102,9041
103,9118
104,9034
105,9118
106,9041
107,9118
108,9118
109,9041
110,9118
111,9034
112,9118
113,9118
114,9173
115,9173
116,9118
117,9032
118,9118
119,9118
120,9118
121,9118
122,9118
123,9118
124,9118
125,9118
126,9118
127,9118
128,9118
129,9118
130,9118
131,9118
132,9118
133,9110
134,9110
135,9110
136,9019
137,9019
138,9019
139,9030
140,9010
140,9012
141,9131
142,9023
143,9016
144,9030
145,9019
146,9025
147,9030
148,9034
149,9023
150,9034
151,9021
152,9034
153,9019
154,9025
155,9016
156,9016
157,9039
158,9334
159,9161
159,9235
160,9013
161,9034
162,9034
163,9180
164,9170
165,9023
166,9179
167,9174
168,9090
169,9095
170,9054
171,9081
172,9060
173,9090
174,9081
175,9095
176,9045
177,9045
178,9087
179,9090
180,9090
181,9081
182,9071
183,9045
184,9071
185,9071
186,9090
187,9092
188,9100
189,9071
190,9045
191,9045
192,9100
193,9227
194,9034
195,9010
195,9334
195,9016
196,9271
197,9090
198,9030
199,9052
200,9071
201,9030
202,9045
202,9071
203,9090
204,9078
205,9081
206,9090
207,9098
209,9081
210,9128
211,9054
212,9128
213,9091
214,9071
215,9090
216,9128
217,9071
218,9087
219,9100
220,9128
221,9081
222,9090
223,9095
224,9081
225,9045
226,9128
227,9081
228,9128
229,9081
230,9041
231,9092
232,9081
233,9104
234,9090
235,9081
237,9078
238,9118
239,9041
240,9090
241,9128
242,9118
243,9128
244,9118
245,9128
246,9090
247,9041
248,9118
249,9100
250,9081
251,9118
252,9130
253,9046
254,9130
256,9130
257,9045
258,9118
259,9130
260,9130
261,9130
262,9118
263,9130
264,9118
265,9131
266,9118
267,9118
268,9131
269,9131
270,9131
271,9118
272,9131
273,9118
274,9118
275,9039
276,9118
277,9131
278,9118
279,9131
280,9133
281,9117
282,9133
283,9128
284,9118
285,9118
286,9133
287,9134
288,9118
289,9134
290,9118
291,9134
292,9134
293,9118
294,9118
295,9118
296,9118
297,9118
298,9118
299,9118
300,9118
301,9118
302,9134
303,9134
304,9134
305,9152
306,9131
307,9158
308,9131
309,9162
310,9166
311,9132
312,9138
313,9138
314,9138
315,9138
316,9166
317,9138
318,9138
319,9148
320,9148
321,9054
322,9045
323,9167
324,9152
325,9153
326,9148
327,9153
328,9161
329,9161
330,9161
331,9161
332,9161
333,9161
334,9148
335,9148
336,9157
337,9155
338,9155
339,9039
340,9118
341,9118
342,9110
343,9117
344,9118
345,9118
346,9118
347,9110
348,9110
349,9118
350,9118
352,9118
353,9118
354,9118
355,9118
356,9118
357,9118
359,9045
360,9118
361,9039
362,9039
363,9029
364,9029
365,9029
366,9029
368,9039
369,9089
370,9029
371,9029
372,9029
373,9049
374,9049
375,9029
376,9034
377,9034
378,9038
379,9148
380,9130
381,9016
382,9016
383,9131
384,9131
385,9131
386,9131
387,9131
388,9131
389,9131
390,9131
391,9134
392,9134
393,9134
394,9134
395,9134
396,9134
397,9134
398,9134
399,9131
400,9272
401,9138
402,9138
403,9039
404,9138
405,9138
406,9138
407,9049
408,9049
409,9137
410,9049
412,9049
413,9164
414,9049
415,9238
415,9029
416,9148
417,9049
418,9148
419,9049
420,9049
421,9131
422,9090
423,9090
424,9148
425,9090
426,9146
427,9148
428,9161
429,9030
429,9212
429,9161
430,9161
431,9144
432,9157
433,9157
434,9138
435,9138
436,9130
437,9049
439,9049
440,9039
441,9049
442,9039
443,9045
444,9039
445,9039
446,9101
447,9080
448,9049
449,9039
450,9049
451,9039
452,9039
453,9039
454,9039
455,9039
456,9019
457,9039
458,9039
459,9039
460,9039
461,9039
462,9039
463,9039
464,9039
465,9034
466,9039
467,9034
468,9045
469,9034
470,9045
471,9039
472,9019
473,9039
474,9019
475,9034
476,9019
477,9118
478,9054
479,9045
480,9095
481,9045
482,9045
483,9090
484,9100
485,9081
486,9071
487,9090
488,9090
489,9071
491,9045
492,9045
493,9045
494,9078
496,9100
497,9092
498,9081
499,9039
500,9045
501,9039
502,9090
503,9087
504,9090
505,9078
506,9039
507,9076
507,9321
507,9086
507,9323
508,9045
509,9039
510,9052
511,9089
512,9052
513,9045
514,9045
515,9098
516,9081
517,9089
518,9081
519,9045
520,9089
521,9100
522,9045
523,9089
524,9100
525,9045
526,9089
527,9090
528,9204
529,9081
530,9045
531,9090
532,9045
533,9078
534,9050
536,9092
537,9045
539,9064
540,9090
541,9090
542,9045
544,9045
545,9090
546,9087
547,9045
548,9071
549,9095
550,9045
551,9090
552,9090
553,9060
554,9045
555,9095
556,9090
557,9082
558,9090
559,9045
560,9090
561,9081
562,9029
563,9029
564,9029
565,9029
566,9029
567,9029
568,9029
569,9089
570,9029
571,9029
572,9049
573,9049
574,9049
575,9045
576,9090
577,9049
578,9032
579,9032
580,9081
581,9049
582,9049
583,9080
584,9049
585,9032
586,9089
587,9054
588,9049
589,9049
590,9059
591,9039
592,9039
593,9059
594,9059
595,9222
596,9019
597,9222
598,9030
599,9019
600,9034
601,9034
602,9016
603,9118
604,9019
605,9016
606,9130
607,9134
608,9118
609,9041
610,9030
611,9222
612,9034
613,9016
614,9019
615,9021
616,9135
617,9158
618,9118
619,9118
620,9090
621,9049
622,9034
623,9041
624,9041
625,9041
626,9095
627,9034
628,9034
629,9039
630,9032
631,9032
632,9019
633,9045
634,9045
635,9272
636,9148
637,9095
638,9072
639,9134
640,9090
641,9118
642,9118
643,9090
644,9060
645,9090
646,9045
647,9095
648,9101
649,9071
650,9016
651,9134
652,9131
653,9118
654,9110
655,9118
656,9095
657,9118
658,9095
659,9030
659,9263
660,9118
661,9041
662,9041
663,9041
664,9034
665,9118
666,9019
667,9118
668,9138
669,9118
670,9148
671,9118
672,9118
673,9118
674,9119
675,9118
676,9118
677,9118
678,9118
679,9009
680,9121
681,9118
682,9019
683,9039
684,9110
685,9118
686,9118
687,9118
688,9045
689,9118
690,9118
691,9118
692,9118
693,9118
694,9118
695,9090
696,9095
697,9045
698,9045
699,9090
701,9095
702,9090
705,9100
706,9095
707,9045
708,9045
709,9081
710,9090
711,9045
712,9045
713,9081
714,9045
715,9310
716,9100
717,9090
718,9045
719,9100
720,9118
721,9118
722,9118
723,9118
724,9118
725,9118
726,9118
727,9110
728,9110
729,9118
730,9118
731,9118
732,9110
733,9118
734,9118
735,9119
736,9119
737,9118
738,9118
739,9118
740,9118
741,9118
742,9118
744,9118
745,9045
745,9118
746,9118
747,9118
748,9118
749,9118
750,9118
751,9118
752,9118
753,9118
754,9118
755,9118
756,9118
757,9118
758,9118
760,9118
