story_id,story_category_id
1,1
2,4
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,4
350,4
351,4
352,4
354,6
358,5
359,5
360,5
361,5
362,5
363,5
364,4
365,4
368,4
369,4
377,4
378,4
381,8
382,4
385,4
390,4
391,4
392,4
393,4
394,4
395,4
396,4
397,4
398,4
400,4
403,8
404,8
408,4
411,4
415,4
418,4
420,4
421,4
423,4
424,4
425,4
426,4
429,4
430,4
431,4
432,4
433,1
443,4
444,5
446,5
448,4
474,4
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,4
484,6
485,6
490,6
491,6
492,6
493,6
494,6
495,6
496,6
497,6
498,6
499,6
500,6
501,6
502,6
503,6
504,6
505,6
506,6
507,6
513,4
517,4
518,4
519,4
523,4
526,4
538,4
545,4
549,1
553,4
554,4
562,1
570,5
573,1
580,4
589,5
601,1
602,4
606,4
609,4
610,4
611,4
614,4
644,4
645,1
646,6
647,6
648,6
649,6
650,6
651,6
652,6
653,6
654,6
655,6
656,6
657,6
658,6
659,6
660,6
661,6
662,6
663,6
664,6
665,6
666,6
667,6
668,6
669,6
670,6
675,4
687,4
694,4
695,4
696,4
699,4
704,4
705,6
706,4
715,4
716,5
737,4
752,4
762,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
779,4
782,1
785,4
786,8
787,8
788,1
793,4
794,4
800,4
801,4
802,5
803,8
809,4
810,4
811,4
814,4
818,4
819,4
822,4
824,5
834,4
836,4
837,4
838,4
840,4
845,4
847,4
848,4
849,4
855,4
856,8
860,4
862,4
863,4
864,4
873,4
880,4
884,4
885,1
886,4
887,4
889,4
895,4
897,6
898,6
899,6
900,6
901,6
902,6
903,6
904,6
905,6
906,6
907,6
908,6
909,6
910,6
911,6
912,6
913,6
914,6
915,6
916,6
917,6
918,6
919,6
928,4
931,4
936,4
937,4
939,1
948,4
950,4
956,4
959,4
972,1
975,5
976,4
995,4
996,4
997,4
998,4
1000,4
1002,4
1005,4
1010,5
1013,3
1016,4
1018,4
1019,4
1021,3
1027,4
1036,1
1038,4
1039,5
1040,4
1042,4
1053,4
1054,4
1055,4
1058,4
1059,5
1063,4
1073,4
1077,4
1079,4
1080,5
1082,4
1097,4
1099,4
1101,4
1102,4
1110,5
1121,4
1123,4
1128,4
1131,4
1133,4
1137,4
1140,4
1142,4
1147,4
1152,4
1160,5
1165,4
1169,4
1170,4
1173,4
1176,4
1178,4
1185,4
1186,4
1187,4
1188,5
1190,4
1197,11
1203,4
1205,4
1206,4
1210,1
1211,4
1213,4
1223,4
1225,4
1227,4
1229,4
1230,4
1242,2
1251,4
1257,1
1258,4
1259,4
1260,4
1262,4
1263,4
1266,4
1267,8
1269,4
1271,4
1275,4
1277,4
1278,4
1279,1
1280,1
1281,1
1282,1
1283,1
1284,1
1285,1
1286,4
1288,4
1289,4
1293,4
1294,4
1299,4
1300,4
1306,4
1309,4
1314,4
1317,4
1318,4
1319,5
1321,8
1323,4
1328,4
1337,8
1344,4
1347,4
1348,4
1349,8
1352,5
1355,4
1360,4
1375,1
1377,4
1381,5
1388,4
1392,4
1393,4
1396,4
1397,8
1398,4
1401,4
1403,4
1404,4
1405,4
1406,4
1407,4
1409,4
1413,4
1421,4
1423,4
1424,4
1434,4
1437,4
1441,4
1444,4
1446,4
1453,4
1454,4
1456,4
1462,4
1463,4
1467,4
1468,4
1471,4
1472,9
1481,4
1484,2
1488,4
1498,8
1499,3
1500,4
1508,4
1513,4
1515,4
1518,3
1524,2
1525,4
1527,4
1532,4
1533,6
1534,6
1535,6
1536,6
1537,6
1538,6
1539,6
1540,6
1541,6
1542,6
1543,6
1544,6
1545,6
1546,6
1547,6
1548,6
1549,6
1550,6
1551,6
1552,6
1553,6
1554,6
1555,6
1560,4
1561,4
1565,4
1568,4
1573,8
1574,4
1575,5
1576,4
1594,4
1597,4
1599,4
1602,4
1611,4
1616,4
1617,3
1618,3
1619,4
1620,4
1622,4
1623,4
1624,4
1626,4
1630,4
1632,9
1633,4
1639,4
1646,4
1652,3
1653,4
1654,2
1655,4
1657,4
1658,4
1660,2
1667,4
1668,4
1677,1
1682,3
1684,6
1685,5
1686,4
1688,2
1689,2
1691,2
1700,4
1701,4
1704,4
1705,4
